name, value
absorption_bleeding, This skill mod decreases the damage taken from bleeding.
absorption_disease, This skill mod reduces the damage taken from disease.
absorption_fire, This skill mod reduces the damage taken from fire.
absorption_poison, This skill mod reduces the the damage taken from poison.
advanced_assembly, This skill mod affects the crafting of advanced starship systems.
advanced_ship_experimentation, This skill mod affects experimentation of advanced ship components.
advertising, This is being removed for now.
aim, This mod increases the efficacy of your aim command.
alert, The Alert skill offers a chance to defend against a surprise shot from a covered sniper.  The higher the skill, the better the chance to successfully defend against this type of attack.
anti_shock, This skill mod determines your resistance to shock.
armor_assembly, This skill mod determines the chance of succeeding when crafting armor.
armor_customization, This skill mod determines the extent of modification you can perform on armor items in the crafting process.
armor_experimentation, This skill mod directly affects how many experimentation points you receive when creating armor.
armor_repair, This skill mod determines how effective you are at repairing armor.
berserk, This mod improves your chance of succesfully entering the berserk state.
bio_engineer_assembly, This skill mod governs the Bio-Engineer's ability to craft creatures and tissue samples.
bio_engineer_experimentation, This skill mod governs the Bio-Engineer's ability to experiment on crafted creatures and tissue samples.
blind_defense, This mod will protect you from being blinded.
block, This mod increases the chance of succesfully blocking an attack. 
body, This skill mod determines how adept the Image Designer is at modifying a character's body.  This is used to change height, weight, muscle, and other customizations.
booster_assembly, This skill mod affects the crafting of boosters for starfighters.
booster_experimentation, This skill mod affects experimentation of ship boosters.
bounty_mission_level, Every point in this mod will allow access to more lucrative and difficult Bounty Hunter missions.
burst_run, The burst run efficiency skill mod is a direct percentage decrease to the cost of using the /burstrun command.
camouflage, A higher camouflage skill means the Ranger's conceal ability will last longer and be more effective on himself and others.
camp, A higher camping skill enables the use of increasingly complex camp kits.
carbine_accuracy, As the Carbine Accuracy skill mod increases, the chance to hit an enemy with a carbine ranged attack also increases.
carbine_aim, The Carbine Aiming skill modifier directly amplifies the effectiveness of the Aim command. A high skill in this can drastically increase your odds of Aiming, particularly if multiple Aims are used consecutively in the course of one attack.
carbine_hit_while_moving, This mod improves your chace of hitting while moving with a carbine.
carbine_speed, This mod improves your attack speed with carbines.
center_of_being_duration_onehandmelee, This skill mod controls the duration o fthe center of being command when fighting with a one-handed melee weapon.
center_of_being_duration_polearm, This skill mod controls the duration o fthe center of being command when fighting with a polearm.
center_of_being_duration_twohandmelee, This skill mod controls the duration o fthe center of being command when fighting with a two-handed melee weapon.
center_of_being_duration_unarmed, This skill mod controls the duration of the Center Of Being command when fighting unarmed.
chassis_assembly, This skill mod affects crafting and experimentation of starfighter chassis.
chassis_experimentation, This skill mod affects experimentation of ship chassis.
clothing_assembly, This skill mod increases the chance of succeeding when crafting clothing items.
clothing_customization, This skill mod determines the extent of modification you can perform on clothing items in the crafting process.
clothing_experimentation, This skill mod directly affects how many experimentation points you receive when crafting Combat Medic medicines and medical items.
clothing_repair, This skill mod determines how effective you are at repairing clothing.
combat_equillibrium, This mod increases the chance of automatically recovering from a forced posture change.
combat_haste, This mod impoves your speed for all combat actions.
combat_healing_ability, This skill mod determines the range and sophistication of your combat medical techniques and medicines.  The higher the number, the higher the effectiveness of these techniques and medicines.
combat_medic_effectiveness, This skill mod determines how effective you are at performing Combat Medic techniques.
combat_medicine_assembly, This skill mod increases the chances of succeeding when crafting Combat Medic medicines.
combat_medicine_experimentation, This skill mod directly affects how many experimentation points you receive when crafting Combat Medic medicines and medical items.
counterattack, This mod controls your chance of responding to an aggressive attack with an unblockable counterattack.
cover, The Cover skill mod determines how safe you are from enemy notice and attack while in a covered state.
crafting_repair, This skill mod determines how effective you are at general repair of crafted items.
creature_assembly, This skill mod determines the chance at success when assembling creatures as a Bio-Engineer.
creature_experimentation, This skill mod directly affects how many experimentation points you receive while assembling creatures as a Bio-Engineer.
creature_harvesting, This skill mod is used to determine the quantity of resources harvested from a creature.
creature_hit_bonus, Skilled scouts and rangers have gained the ability to strike creatures more effectively.  This raw to-hit bonus only applies to normal ranged attacks.
creature_knowledge, When a player with creature knowledge examines a creature, they learn additional information about the creature's abilities.  The higher this skill mod, the more information displayed.
defense_reverse, This number represents the highest level of reverse engineering you can accomplish.
dissipation_bleeding, This skill mod reduces the duration of bleeding.
dissipation_disease, This skill mod reduces the duration of disease.
dissipation_fire, This skill mod reduces the duration of fire.
dissipation_poison, This skill mod reduces the duration of poison.
dizzy_defense, This mod improves your chance to avoid being dizzied. 
dna_harvesting, This skill allows a Bio-Engineer to sample higher quality DNA from creatures with less trauma to their system.
dodge, This mod increases your chance to dodge incoming attacks. 
droid_assembly, This skill modifier value affects the Droid Engineer's success rate when it comes to assembling droids and droid-related objects.
droid_complexity, This is an erroneous value.
droid_customization, This skill modifier value affects the Droid Engineer's success rate and capabilities when it comes to colorizing and customizing droids and droid-related objects.
droid_experimentation, This skill mod directly affects how many experimentation points you receive when creating droids.
droid_find_chance, This skill modifier value affects the Bounty Hunter player's success rate when it comes to utilizing a Bounty Hunter's droid 'find' feature.
droid_find_speed, This skill modifier value affects the Bounty Hunter player's speed when it comes to utilizing a Bounty Hunter's droid 'find' feature.
droid_track_chance, This skill modifier value affects the Bounty Hunter player's success rate when it comes to utilizing a Bounty Hunter's droid 'track' feature.
droid_track_speed, This skill modifier value affects the Bounty Hunter player's speed when it comes to utilizing a Bounty Hunter's droid 'track' feature.
droid_tracks, This skill modifier value affects the Bounty Hunter player's number of possible 'tracks' when it comes to utilizing a Bounty Hunter's droid 'find' feature.
engine_assembly, This skill mod affects crafting of starfighter engines.
engine_experimentation, This skill mod affects the experimentation of engine components.
engineering_reverse, This number represents the highest level of reverse engineering you can accomplish.
face, This skill mod determines how adept the Image Designer is at modifying the facial attributes of a character. This is used to change eye color, eye size, nose width, and all other facial options.
feign_death, As this ability improves,  so does the player's chance of successfully performing feign death in combat.
flora_harvester_efficiency, This skill mod determines how efficiently your flora harvesters operate.
flora_harvester_maintenance, This skill mod affects the maintenance rate of flora harvesters.
flora_harvester_speed, This skill mod determines how fast your flora harvesters are at general extraction.
food_assembly, This skill mod determines the chance of succeeding when crafting food.
food_experimentation, This skill mod directly affects how many experimentation points you receive when crafting food.
foraging, The foraging skill mod improves the quality of the /forage command.  As this skill mod increases, the chance of successfully foraging improves.
force_absorb, This mod indicates the amount of Force power you will absorb when attacked.
force_armor, This mod increase the amount of normal damage your Force Armor blocks.
