name, value
apprenticeship, Apprenticeship
bio_engineer, Bio-Engineer
bio_engineer_dna_harvesting, DNA Sampling
bountyhunter, Bounty Hunter
business_general, Business
camp, Wilderness Survival
combat, 
combat_general, Combat
combat_meleespecialize_onehand, Onehanded Weapons
combat_meleespecialize_onehandlightsaber, Onehanded Lightsaber
combat_meleespecialize_polearm, Polearm Weapons
combat_meleespecialize_polearmlightsaber, Polearm Lightsaber
combat_meleespecialize_twohand, Twohanded Weapons
combat_meleespecialize_twohandlightsaber, Twohanded Lightsaber
combat_meleespecialize_unarmed, Unarmed Combat
combat_rangedspecialize_carbine, Carbine Weapons
combat_rangedspecialize_heavy, Heavy Weapons
combat_rangedspecialize_pistol, Pistol Weapons
combat_rangedspecialize_rifle, Rifle Weapons
combat_rangespecialize_bactarifle, Bacta Rifles
combatmedic, Combat Medic
crafting_bio_engineer_creature, Bio-Engineer Crafting
crafting_bio_engineer_tissue, Tissue Engineering
crafting_clothing_armor, Armor Crafting
crafting_clothing_general, Tailoring
crafting_droid_general, Droid Crafting
crafting_food_general, Food Crafting
crafting_general, General Crafting
crafting_medicine_general, Medicine Crafting
crafting_scout, Scout Crafting
crafting_scout_camp, Scout Camp Crafting
crafting_scout_trap, Scout Trap Crafting
crafting_spice, Spice Crafting
crafting_structure_general, Structure Crafting
crafting_weapons_general, Weapon Crafting
crafting_weapons_melee, Melee Weapon Crafting
crafting_weapons_munition, Munitions Crafting
crafting_weapons_munitions, Munitions Crafting
crafting_weapons_ranged, Ranged Weapons Crafting
creaturehandler, Creature Handling
dance, Dancing
entertainer_healing, Entertainer Healing
farmer, Farming
force_rank_xp, Force Rank
fs_combat, Force-sensitive Combat
fs_crafting, Force-sensitive Crafting
fs_reflex, Force-sensitive Reflex
fs_senses, Force-sensitive Senses
imagedesigner, Image Designer
industrialist, Industralist
jedi_general, Jedi
medical, Medical
merchant, Merchant
music, Musician
pilot_general, Pilot General
pilot_imperial, Imperial Piloting Experience
pilot_neutral, Neutral Piloting Experience
political, Political
prestige_imperial, Imperial Prestige
prestige_pilot, Pilot Prestige
prestige_rebel, Rebel Prestige
ranger, Ranger
resource_harvesting_inorganic, Surveying
resource_harvesting_organic, Hunting
reverse_engineering, Reverse Engineering
scout, Scouting
shipwright, Shipwright
slicing, Slicing
smuggler, Smuggling
space_combat_general, Starship Combat
squadleader, Squad Leadership
trapping, Trapping
unobtainable, Unobtainable Experience
gcw_currency_imperial, CW Republic Currency
gcw_currency_rebel, CW CIS Currency
